titles,years,genres,imdb,runtime,description,stars,votes,type,original
Frank Elstner: Just One Last Question,2019,Talk-Show,7.7,,"In his farewell show, legendary German host Frank Elstner digs deep and savors his discussions with stars such as Daniel Brühl and Lena Meyer-Landrut.","Frank Elstner, Jan Böhmermann, Giovanni di Lorenzo, Helene Fischer",67,TV Show,Netflix
Formula 1: Drive to Survive,2019,"Documentary, Sport",8.6,40 min,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Valtteri Bottas, Will Buxton, Pierre Gasly, Romain Grosjean","17,512",TV Show,Netflix
Followers,2020,"Drama, Romance",6.2,40 min,"In every corner of the world robotic people join social networks and give their time and privacy away in the name of connectedness. These people are social voyeurs, narcissists and ... See full summary »","Miki Nakatani, Elaiza Ikeda, Mari Natsuki, Yuka Itaya",304,TV Show,Netflix
Follow This,2018,Documentary,4.9,,A look inside the busy newsroom at BuzzFeed.,"Karolina Waclawiak, Scaachi Koul, Bim Adewunmi, Azeen Ghorayshi",644,TV Show,Netflix
Floor is Lava,2020,"Game-Show, Reality-TV",5.2,,"Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers.","Rutledge Wood, Janine Hogan","1,546",TV Show,Netflix
Flint Town,2018,"Documentary, Crime",7.9,45 min,"Documentary following the police department in Flint, Michigan as they struggle with dwindling resources and crumbling infrastructure in a community crippled by violence and a contaminated water crisis.","Tim Johnson, Bridgette Balasko, Robert Frost, Dion Reed","3,106",TV Show,Netflix
Flinch,2019,Game-Show,4.2,25 min,"Faced with various frightening and uncomfortable events, contestants in this game show had better not flinch - or they'll suffer painful consequences.","Seann Walsh, Lloyd Griffith, Desiree Burch, John McGinn",593,TV Show,Netflix
Flaked,2016,"Comedy, Drama",7.2,30 min,"A recovering alcoholic faces reality after a life changing accident in Venice Beach, California.","Will Arnett, David Sullivan, Ruth Kearney, George Basil","10,183",TV Show,Netflix
First and Last,2018,Documentary,6.8,40 min,Cameras enter Georgia's Gwinnett County Jail to document the first days of its newest inmates and the final days of those about to be released.,"Shantee G., Alex R., Velma S.",331,TV Show,Netflix
First Team: Juventus,2018,"Documentary, Reality-TV, Sport",7.4,40 min,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,"D.B. Sweeney, Massimiliano Allegri, Andrea Barzagli, Mehdi Benatia","1,782",TV Show,Netflix
Fightworld,2018,Documentary,7.7,40 min,Actor and martial artist Frank Grillo explores and experiences the diverse fighting techniques found in cultures around the world.,"Frank Grillo, Buakaw Banchamek, Julio Cesar Chavez, Kru Dam",626,TV Show,Netflix
Feel Good,2020,"Comedy, Drama, Romance",7.5,30 min,"The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviors and intense romanticism that permeate every facet of her life.","Mae Martin, Charlotte Ritchie, Sophie Thompson, Tom Andrews","3,817",TV Show,Netflix
Fastest Car,2018,"Documentary, Reality-TV",7.1,45 min,"In a quarter mile drag race, drivers of exotic supercars go up against sleeper cars built and modified by dedicated gearheads.","Fabian Arroyo, Allen Busby, Emelia Hartford, Erron Jackson","1,079",TV Show,Netflix
Fast & Furious Spy Racers,2019,"Animation, Action, Crime",5.3,23 min,A team of teenage street racers are hired to infiltrate a criminal gang.,"Tyler Posey, Charlet Takahashi Chung, Jorge Diaz, Luke Youngblood",813,TV Show,Netflix
Fary: Hexagone,2020,Comedy,6.5,,"French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.",Fary,95,TV Show,Netflix
Family Reunion,2019,Comedy,6.4,28 min,"When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.","Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey","1,401",TV Show,Netflix
Family Business,2019,Comedy,7.4,,"Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.","Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère","1,714",TV Show,Netflix
F Is for Family,2015,"Animation, Comedy, Drama",8,30 min,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.","Bill Burr, Laura Dern, Justin Long, Debi Derryberry","28,271",TV Show,Netflix
Extreme Engagement,2019,Reality-TV,5.5,,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?,"PJ Madam, Tim Noonan",309,TV Show,Netflix
Extracurricular,2020,"Crime, Drama",7.7,50 min,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,"Dong-Hee Kim, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su","1,897",TV Show,Netflix
Explained,2018,Documentary,8.1,18 min,A documentary series that looks to explore the big questions of today.,"Estelle Caswell, Maria Bello, Kristen Bell, Rachel Bloom","6,459",TV Show,Netflix
Exhibit A,2019,"Documentary, Crime",6.2,,This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,,739,TV Show,Netflix
Everything Sucks!,2018,"Comedy, Drama",7.5,30 min,"In 1990s Oregon, members of a high school A/V club clash with the drama club.","Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako","14,459",TV Show,Netflix
Ever After High,2013,"Animation, Adventure, Comedy",8,,"The students of all the fairytale characters attend Ever After High, where they are either Royals (students who want to follow in their parent's footsteps) or Rebels (students who wish to write their own destiny).","Cindy Robinson, Valerie Arem, Todd Haberkorn, Jamieson Price",622,TV Show,Netflix
Estocolmo,2016,"Crime, Drama, Mystery",5.9,60 min,"An undercover agent, a prosecutor, and a journalist try to bring down a human trafficking ring, but nothing is as straightforward as it seems.","Luciano Cáceres, Juana Viale, Jorge Marrale, Pia Galeano",316,TV Show,Netflix
Erased,2017,"Drama, Fantasy, Mystery",7.9,30 min,"After finding his mom killed, Satoru's time-traveling ability takes him back 18 years for a chance to prevent her death and those of three classmates.","Yûki Furukawa, Tomoka Kurotani, Reo Uchikawa, Brenda Joan Wong","2,733",TV Show,Netflix
Emily's Wonder Lab,2020,"Family, Talk-Show",8.7,,Acclaimed science communicator Emily Calandrelli takes kids through lively experiments and entertaining activities in this new live-action series .,"Arya Darbahani, Makenzie Lee-Foster, Mason Wells, Sky Alexis",105,TV Show,Netflix
Emily in Paris,2020,"Comedy, Drama, Romance",7.2,30 min,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo","28,935",TV Show,Netflix
Elite,2018,"Crime, Drama, Thriller",7.6,60 min,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","Itzan Escamilla, Miguel Bernardeau, Arón Piper, Omar Ayuso","43,948",TV Show,Netflix
El Chapo,2017,"Crime, Drama",7.8,43 min,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.","Marco de la O, Humberto Busto, Diego Vásquez, Juan Carlos Cruz","14,125",TV Show,Netflix
Edha,2018,Drama,4.8,40 min,"The life of a successful designer and single mother turns upside down when she meets a mysterious man. A mixture of vengeance, passion and dark secrets looms.","Brian Beacock, Heinz K. Krattiger, Tomás Sala, Philippe Lecuyer",564,TV Show,Netflix
Easy,2016,Comedy,6.9,30 min,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.","Michael Chernus, Jane Adams, Elizabeth Reaser, Jacqueline Toboni","11,612",TV Show,Netflix
Drug Squad: Costa del Sol,2019,"Action, Adventure, Drama",6.8,,Four cops with very different personality unite to create a skilled narcotics squad in the Spain of late 70s.,"Hugo Silva, Álvaro Cervantes, Miki Esparbé, Jesús Castro",367,TV Show,Netflix
Drug Lords,2018,Documentary,6.9,42 min,Documentary series examining drug cartels and kingpins from around the world.,"Quinn Dalton, Jordan Lawson, Razor Rocco Rizzotti, Winter Dunn",994,TV Show,Netflix
Dream Home Makeover,2020,Reality-TV,5.1,,Shea and Syd McGee of Studio McGee help dreams come true for real families looking to update their home tailored to their own unique style.,"Shea McGee, Syd McGee",329,TV Show,Netflix
Dragons: Rescue Riders,2019,"Animation, Adventure, Comedy",6,24 min,Twins Dak and Leyla share a unique ability to communicate with dragons. The brother and sister lead a team of five young dragons that spend their days rescuing other dragons and helping the people in their adopted town of Huttsgalor.,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu",166,TV Show,Netflix
Dragons: Race to the Edge,2015,"Animation, Action, Adventure",8.3,22 min,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.","Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse","4,530",TV Show,Netflix
Dragon's Dogma,2020,"Animation, Action, Fantasy",6.4,,"Ethan sets out to vanquish the Dragon that took his heart, but with every demon he battles, he loses more of his humanity.","Greg Chun, Erica Mendez, David Lodge, Cristina Valenzuela","1,564",TV Show,Netflix
Dope,2017,"Documentary, Crime",7.3,45 min,"Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.",,"1,427",TV Show,Netflix
Dolly Parton's Heartstrings,2019,"Comedy, Drama, Music",7.6,62 min,8 of singer/songwriter Dolly Parton's most famous songs are brought to life in 8 different episodes.,"Dolly Parton, Delta Burke, Julianne Hough, Melissa Leo","1,710",TV Show,Netflix
Dollar,2019,"Action, Drama, Romance",6.8,,"Tarek is given the task to come up with a million-dollar idea for the launch of a new bank. An idea strikes him, but he will only reveal it to the CEO, making Zeina, the CEO's assistant played by Bouchoucha, suspicious.","Patrick Boylan, Jarrod Pistilli, Amel Bouchoucha, Adel Karam",490,TV Show,Netflix
Dogs of Berlin,2018,"Action, Crime, Drama",7.5,542 min,A politically sensitive murder forces two disparate detectives into a battle with the Berlin underworld and a confrontation with their own corruption.,"Felix Kramer, Fahri Yardim, Samy Abdel Fattah, Mohamed Issa","9,736",TV Show,Netflix
Dogs,2018,Documentary,8.1,50 min,Documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends.,"Beth, Carly, Corinne",962,TV Show,Netflix
Disjointed,2017,Comedy,6.8,30 min,"Cannabis legend Ruth Whitefeather Feldman employs her newly graduated son and a team of young ""budtenders"" to help run her Los Angeles marijuana dispensary.","Kathy Bates, Aaron Moten, Elizabeth Alderfer, Tone Bell","8,655",TV Show,Netflix
Disenchantment,2018,"Animation, Action, Adventure",7.2,30 min,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio","42,415",TV Show,Netflix
Dirty Money,2018,"Documentary, Crime",8.1,60 min,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","Matt Taibbi, Alex Gibney, Anabel Hernández, Fahmi Quadir","7,581",TV Show,Netflix
Dirk Gently's Holistic Detective Agency,2016,"Action, Adventure, Comedy",,60 min,Holistic detective Dirk Gently investigates cases involving the supernatural.,"Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete","41,614",TV Show,Netflix
Dinotrux Supercharged,2017,"Animation, Short, Action",7.2,24 min,In this new season of dinotrux Ty and the others meet new friends as well as face new challenges both normal and supercharged.,"Ashleigh Ball, Richard Ian Cox, Brian Drummond, Andrew Francis",68,TV Show,Netflix
Dinotrux,2015,"Animation, Short, Action",7,,"Animals like the Craneosauraus, Garbageadon and Tyrannosaurus Trux (part dinosaurs and part truck) exist in a fictional prehistoric era.","Andrew Francis, Richard Ian Cox, Ashleigh Ball, Brian Drummond",381,TV Show,Netflix
Dino Girl Gauko,2019,"Animation, Comedy, Family",6.8,,A children's animation on a seemingly typical girl who turns into a ferocious dinosaur when she is angry.,"Naoko Matsui, Corina Boettger, Laura Post, Ben Diskin",46,TV Show,Netflix
Diablero,2018,"Fantasy, Horror, Thriller",6.6,40 min,"A fallen priest, a legendary demon hunter, and a modern day superhero join forces to battle evil.","Christopher Von Uckermann, Giselle Kuri, Fátima Molina, Horacio Garcia Rojas","2,082",TV Show,Netflix
Designated Survivor: 60 Days,2019,"Drama, Thriller",8.1,70 min,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.","Jin-hee Ji, Joon-ho Huh, Han-na Kang, Joon-hyuk Lee",663,TV Show,Netflix
Designated Survivor,2016,"Action, Drama, Mystery",7.5,60 min,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn","73,490",TV Show,Netflix
